B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
2072-2-1,2015-05-15,15:09,27.61,86.2,4.5,NSC,Dolakha
2072-2-1,2015-05-15,22:58,27.74,86.17,4,NSC,Dolakha
2072-1-31,2015-05-14,00:16,27.92,86.31,4.3,NSC,Dolakha
2072-1-31,2015-05-14,03:13,27.66,86.07,4.1,NSC,Dolakha
2072-1-31,2015-05-14,03:23,27.67,86.08,5,NSC,Dolakha
2072-1-31,2015-05-14,08:52,27.8,85.82,4,NSC,Sindupalchok
2072-1-31,2015-05-14,09:06,27.83,86.15,4.5,NSC,Dolakha
2072-1-31,2015-05-14,15:20,27.62,86.09,4.2,NSC,Dolakha
2072-1-31,2015-05-14,19:43,27.75,86.14,4,NSC,Dolakha
2072-1-31,2015-05-14,20:21,28.06,85.35,4.5,NSC,Rasuwa
2072-1-31,2015-05-14,20:50,27.71,86.04,4,NSC,Dolakha
2072-1-31,2015-05-14,21:40,27.84,85.84,4,NSC,Sindhupalchowk
2072-1-30,2015-05-13,12:11,27.69,86.11,4.7,NSC,Sindhupalchok
2072-1-30,2015-05-13,10:33,27.79,86.19,4.6,NSC,Dolakha
2072-1-30,2015-05-13,08:28,27.75,86.25,4.4,NSC,Dolakha
2072-1-30,2015-05-13,08:08,27.65,86.18,4.4,NSC,Dolakha
2072-1-30,2015-05-13,04:38,27.82,86.47,4.3,NSC,Dolakha
2072-1-30,2015-05-13,03:10,27.91,84.82,5.9,NSC,Dhading
2072-1-30,2015-05-13,02:07,27.68,85.3,4.2,NSC,Kathmandu
2072-1-30,2015-05-13,12:22,27.79,86.07,4.8,NSC,Dolakha
2072-1-30,2015-05-13,12:34,27.84,86.25,4.6,NSC,Dolakha
2072-1-30,2015-05-13,21:36,27.7,86.15,4.1,NSC,Dolakha
2072-1-30,2015-05-13,21:21,27.64,85.7,4,NSC,Kavrepalanchok
2072-1-30,2015-05-13,16:44,27.63,86.17,4.5,NSC,Dolakha
2072-1-30,2015-05-13,03:42,27.85,85.92,4.2,NSC,Sindhupalchok
2072-1-30,2015-05-13,15:37,27.85,86.29,4,NSC,Dolakha
2072-1-30,2015-05-13,14:30,27.6,86.16,4.3,NSC,Dolakha
2072-1-30,2015-05-13,12:38,27.68,86.17,5.1,NSC,Dolakha
